,ImF1,ImF2,ImF3,ImF4,ImF5,ImF6,ImF7,ImF8,ImF9,ImF10,ImF11,ImF12,ImF13,ImF14,ImF15,ImF16,ImF17,ImF18,ImF19,ImF20,ImT21,ImT22,ImT23,ImT24,ImT25,ImT26,ImT27,ImT28,ImT29,ImT30,ImT31,ImT32,ImT33,ImT34,ImT35,ImT36,ImT37,ImT38,ImT39,ImT40,ImD41,ImD42,ImD43,ImD44,ImD45,ImD46,ImD47,ImD48,ImD49,ImD50,ImD51,ImD52,ImD53,ImD54,ImD55,ImD56,ImD57,ImD58,ImD59,ImD60
718,C,C,B,B,B,D,C,C,C,D,C,D,C,B,C,C,A,A,B,C,B,A,B,B,A,C,B,A,B,B,B,C,B,A,B,B,A,B,B,B,B,C,B,C,C,B,B,C,B,C,C,B,B,C,C,B,D,D,D,C
719,D,C,B,B,A,D,C,B,C,C,A,B,B,A,C,C,D,B,B,D,D,B,A,A,A,D,C,B,C,D,B,B,A,A,C,C,D,A,C,D,A,D,C,A,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D
720,C,A,D,C,C,D,C,A,C,D,C,D,C,A,C,B,B,D,C,D,B,A,D,B,B,D,B,A,D,D,C,D,C,A,C,A,C,D,D,D,C,D,D,C,C,D,C,D,D,D,C,C,B,D,C,D,B,D,D,D
721,B,C,C,B,B,D,D,D,D,D,B,C,C,C,D,C,A,A,C,B,D,B,B,B,B,D,C,C,C,D,D,D,D,B,C,B,A,B,D,B,A,A,B,C,B,B,D,D,B,C,C,B,B,D,C,C,D,C,C,D
722,D,B,D,A,A,C,B,D,C,D,A,D,A,B,B,A,C,D,D,C,B,A,C,A,A,B,A,A,B,D,A,D,A,B,B,A,B,D,D,C,B,A,A,B,B,B,A,A,B,A,A,A,C,A,,A,C,C,C,C
723,B,A,D,B,B,D,C,A,C,D,C,D,B,C,C,C,A,C,C,B,D,C,D,B,B,D,B,A,D,C,C,C,B,B,C,B,A,D,C,B,B,*,C,C,C,D,B,A,D,C,C,B,B,C,D,B,D,D,D,D
724,B,A,C,B,A,C,B,B,B,B,C,C,A,B,B,B,A,A,B,A,A,B,C,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,B,A,B,B,B,B,B,B,B,B,C,C,C,B,C,C,C,B,D,D,D,D
725,D,A,B,C,D,B,A,A,,C,A,A,C,B,B,D,A,A,A,B,C,D,A,C,B,D,B,A,D,B,A,A,D,C,A,C,D,B,A,C,B,D,A,C,C,C,C,A,B,C,C,A,A,A,A,A,A,A,A,A
726,C,C,B,C,A,D,C,A,B,C,A,D,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,D,D,D,D,D,D,D,D,D,D,D,D,B,D,B,D,D,D,D
727,C,B,C,A,A,C,B,A,C,B,A,A,A,B,B,A,A,A,A,A,,A,B,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,B,C,C,C,B,C,C,B,C,C,B,B,B,C,C,C,D,D,C
728,C,C,D,B,B,C,C,C,C,C,C,C,B,B,C,C,D,B,B,B,B,C,B,A,A,B,B,C,A,B,C,B,C,A,B,B,A,A,A,A,B,A,B,B,C,A,B,A,C,C,B,A,B,B,C,A,B,D,D,C
729,C,A,D,C,B,D,B,B,C,C,B,C,B,A,B,B,A,B,B,B,C,B,D,B,C,D,B,C,B,C,B,B,B,A,A,A,A,B,B,A,C,B,B,C,D,C,D,C,D,D,D,D,D,D,D,C,D,C,D,D
730,D,A,C,D,C,D,A,C,A,B,A,A,A,A,B,A,A,A,A,A,B,A,A,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,A,B,C,B,B,C,B,B,C,B,B,C,B,A,C,B,B,B,B,A
731,D,A,D,D,C,D,B,A,C,C,C,C,D,B,C,A,D,A,C,D,D,A,D,D,D,D,B,A,D,C,D,B,D,B,B,A,C,A,C,C,A,D,A,C,C,C,C,D,D,D,C,C,C,D,C,D,C,D,D,C
738,D,C,C,B,A,C,B,C,B,C,B,A,C,A,B,C,A,D,C,A,A,A,A,B,A,B,A,B,B,B,B,A,A,B,B,A,B,C,C,B,B,B,A,A,A,B,B,A,C,A,A,A,A,B,B,B,C,C,D,B
739,B,A,A,D,B,A,B,B,A,C,B,B,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,B,D,B,D,A,B,B,B,A,A,B,C,C,D,B,A,D,D,B,D,C,A,A,B,D,D,B,D,D,D,C
740,C,A,C,C,C,B,B,A,B,C,C,C,C,B,B,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
741,D,B,D,C,B,C,B,C,D,C,B,D,C,A,C,D,A,A,A,C,D,B,D,C,B,D,C,D,D,B,C,D,D,A,B,C,A,A,A,B,B,A,B,C,B,B,C,C,C,C,C,B,C,D,C,C,D,D,D,D
742,B,B,C,C,A,C,D,B,D,D,B,D,D,A,C,C,A,A,A,A,C,B,C,C,A,B,B,B,C,C,C,C,C,A,B,B,A,A,A,A,C,D,C,B,C,C,C,C,D,C,C,B,B,D,C,C,C,D,D,C
745,C,C,C,D,C,C,C,B,C,C,C,C,C,B,C,C,A,B,B,A,B,B,B,D,B,B,B,B,B,B,C,B,C,A,B,B,A,A,A,A,B,B,B,B,B,B,A,C,C,B,B,C,B,B,B,B,D,D,D,D
746,C,C,C,D,C,C,B,B,D,C,B,C,C,A,B,B,A,A,D,A,D,B,B,C,C,B,C,B,B,C,B,B,B,A,C,B,A,A,B,A,B,A,B,B,B,B,A,A,B,B,B,B,B,B,B,,C,C,C,C
747,D,B,C,C,A,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,D,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
748,C,B,C,D,A,D,D,B,D,C,B,C,B,B,B,C,B,C,C,D,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,B,A,A,B,B,*,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C
751,A,A,C,C,B,A,B,A,A,B,B,B,C,A,B,A,C,A,A,B,A,A,B,C,C,A,B,A,A,B,C,A,C,B,B,B,C,A,A,B,A,B,A,B,B,A,B,B,A,B,B,B,B,B,B,A,B,B,C,B
752,D,B,D,D,C,D,B,B,C,C,C,C,C,A,C,B,A,A,A,B,C,A,C,D,D,C,A,B,C,C,C,C,C,A,B,A,A,A,A,A,C,D,C,B,B,C,C,D,C,C,B,B,B,D,B,D,D,D,D,D
753,D,A,D,B,B,D,B,A,D,D,B,D,B,B,B,A,A,B,C,B,B,A,B,A,A,B,B,A,B,B,B,D,B,A,A,A,A,A,A,B,B,D,B,D,C,B,C,D,C,C,B,B,C,D,B,D,D,D,D,D
754,A,B,A,C,B,B,C,B,B,C,D,D,D,A,B,C,C,D,C,A,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
755,D,A,D,D,A,D,A,A,D,C,A,A,C,A,A,A,A,A,A,A,D,A,D,D,D,A,D,D,D,C,B,D,B,D,A,C,A,B,,B,A,A,A,A,A,A,A,A,A,A,D,D,A,B,B,B,A,D,A,D
756,C,C,C,B,A,D,B,C,D,C,A,A,B,A,D,B,A,A,A,A,C,A,D,A,A,D,A,A,A,B,C,B,B,C,A,B,A,A,A,A,A,A,A,B,B,A,D,B,B,A,D,D,A,B,B,D,D,D,D,D
757,B,C,B,B,A,B,C,B,B,C,B,B,B,B,B,B,A,A,A,B,C,B,D,A,A,B,C,C,B,D,B,A,A,A,B,B,C,A,B,B,B,C,B,C,D,B,B,B,C,C,C,B,B,D,B,B,D,D,C,C
758,C,B,D,C,C,B,D,C,B,C,B,D,B,C,B,A,A,A,A,A,B,A,C,B,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C
759,D,A,C,B,A,D,C,A,D,B,A,A,A,A,A,A,A,A,A,A,D,A,B,A,A,D,B,A,D,B,A,A,A,A,A,A,A,A,A,A,A,D,A,C,D,A,C,D,A,C,C,D,D,D,D,D,D,D,D,D
