"participante","condicion","escala","secuencia","duracion","corto","largo","largo_p"
4,"Bloque","A",5,1850,4,16,0.8
4,"Bloque","A",5,1900,1,19,0.95
4,"Bloque","A",5,1950,2,18,0.9
4,"Aleatoria","B",3,900,20,0,0
4,"Aleatoria","B",3,937,19,1,0.05
4,"Aleatoria","B",3,975,17,3,0.15
4,"Aleatoria","B",3,1012,16,4,0.2
4,"Aleatoria","B",3,1050,13,7,0.35
4,"Aleatoria","B",3,1088,13,7,0.35
4,"Aleatoria","B",3,1125,11,9,0.45
4,"Aleatoria","B",3,1163,5,15,0.75
4,"Aleatoria","B",3,1200,7,13,0.65
4,"Aleatoria","B",4,900,20,0,0
4,"Aleatoria","B",4,937,20,0,0
4,"Aleatoria","B",4,975,16,4,0.2
4,"Aleatoria","B",4,1012,19,1,0.05
4,"Aleatoria","B",4,1050,12,8,0.4
4,"Aleatoria","B",4,1088,11,9,0.45
4,"Aleatoria","B",4,1125,3,17,0.85
4,"Aleatoria","B",4,1163,6,14,0.7
4,"Aleatoria","B",4,1200,1,19,0.95
4,"Aleatoria","B",5,900,20,0,0
4,"Aleatoria","B",5,937,18,2,0.1
4,"Aleatoria","B",5,975,18,2,0.1
4,"Aleatoria","B",5,1012,18,2,0.1
4,"Aleatoria","B",5,1050,14,6,0.3
4,"Aleatoria","B",5,1088,10,10,0.5
4,"Aleatoria","B",5,1125,6,14,0.7
4,"Aleatoria","B",5,1163,4,16,0.8
4,"Aleatoria","B",5,1200,2,18,0.9
4,"Bloque","B",3,900,20,0,0
4,"Bloque","B",3,937,18,2,0.1
4,"Bloque","B",3,975,17,3,0.15
4,"Bloque","B",3,1012,13,7,0.35
4,"Bloque","B",3,1050,14,6,0.3
4,"Bloque","B",3,1088,10,10,0.5
4,"Bloque","B",3,1125,2,18,0.9
4,"Bloque","B",3,1163,1,19,0.95
4,"Bloque","B",3,1200,0,20,1
4,"Bloque","B",4,900,20,0,0
4,"Bloque","B",4,937,19,1,0.05
4,"Bloque","B",4,975,19,1,0.05
4,"Bloque","B",4,1012,18,2,0.1
4,"Bloque","B",4,1050,11,9,0.45
4,"Bloque","B",4,1088,7,13,0.65
4,"Bloque","B",4,1125,2,18,0.9
4,"Bloque","B",4,1163,0,20,1
4,"Bloque","B",4,1200,0,20,1
4,"Bloque","B",5,900,20,0,0
4,"Bloque","B",5,937,20,0,0
4,"Bloque","B",5,975,20,0,0
4,"Bloque","B",5,1012,15,5,0.25
4,"Bloque","B",5,1050,16,4,0.2
4,"Bloque","B",5,1088,9,11,0.55
4,"Bloque","B",5,1125,1,19,0.95
4,"Bloque","B",5,1163,3,17,0.85
4,"Bloque","B",5,1200,0,20,1
4,"Aleatoria","C",3,1200,20,0,0
4,"Aleatoria","C",3,1250,19,1,0.05
4,"Aleatoria","C",3,1300,19,1,0.05
4,"Aleatoria","C",3,1350,6,14,0.7
4,"Aleatoria","C",3,1400,4,16,0.8
4,"Aleatoria","C",3,1450,3,17,0.85
4,"Aleatoria","C",3,1500,3,17,0.85
4,"Aleatoria","C",3,1550,5,15,0.75
4,"Aleatoria","C",3,1600,0,20,1
4,"Aleatoria","C",4,1200,19,1,0.05
4,"Aleatoria","C",4,1250,19,1,0.05
4,"Aleatoria","C",4,1300,13,7,0.35
4,"Aleatoria","C",4,1350,10,10,0.5
4,"Aleatoria","C",4,1400,7,13,0.65
4,"Aleatoria","C",4,1450,4,16,0.8
4,"Aleatoria","C",4,1500,0,20,1
4,"Aleatoria","C",4,1550,3,17,0.85
4,"Aleatoria","C",4,1600,0,20,1
4,"Aleatoria","C",5,1200,20,0,0
4,"Aleatoria","C",5,1250,18,2,0.1
4,"Aleatoria","C",5,1300,17,3,0.15
4,"Aleatoria","C",5,1350,10,10,0.5
4,"Aleatoria","C",5,1400,12,8,0.4
4,"Aleatoria","C",5,1450,6,14,0.7
4,"Aleatoria","C",5,1500,4,16,0.8
4,"Aleatoria","C",5,1550,2,18,0.9
4,"Aleatoria","C",5,1600,1,19,0.95
4,"Bloque","C",3,1200,20,0,0
4,"Bloque","C",3,1250,19,1,0.05
4,"Bloque","C",3,1300,20,0,0
4,"Bloque","C",3,1350,14,6,0.3
4,"Bloque","C",3,1400,7,13,0.65
4,"Bloque","C",3,1450,5,15,0.75
4,"Bloque","C",3,1500,0,20,1
4,"Bloque","C",3,1550,0,20,1
4,"Bloque","C",3,1600,0,20,1
4,"Bloque","C",4,1200,20,0,0
4,"Bloque","C",4,1250,20,0,0
4,"Bloque","C",4,1300,12,8,0.4
4,"Bloque","C",4,1350,11,9,0.45
4,"Bloque","C",4,1400,4,16,0.8
4,"Bloque","C",4,1450,1,19,0.95
4,"Bloque","C",4,1500,2,18,0.9
4,"Bloque","C",4,1550,0,20,1
4,"Bloque","C",4,1600,2,18,0.9
4,"Bloque","C",5,1200,20,0,0
4,"Bloque","C",5,1250,19,1,0.05
4,"Bloque","C",5,1300,19,1,0.05
4,"Bloque","C",5,1350,13,7,0.35
4,"Bloque","C",5,1400,7,13,0.65
4,"Bloque","C",5,1450,2,18,0.9
4,"Bloque","C",5,1500,0,20,1
4,"Bloque","C",5,1550,0,20,1
4,"Bloque","C",5,1600,1,19,0.95
5,"Aleatoria","A",3,1550,16,4,0.2
5,"Aleatoria","A",3,1600,12,8,0.4
5,"Aleatoria","A",3,1650,7,13,0.65
5,"Aleatoria","A",3,1700,6,14,0.7
5,"Aleatoria","A",3,1750,4,16,0.8
5,"Aleatoria","A",3,1800,2,18,0.9
5,"Aleatoria","A",3,1850,0,20,1
5,"Aleatoria","A",3,1900,0,20,1
5,"Aleatoria","A",3,1950,0,20,1
5,"Aleatoria","A",4,1550,17,3,0.15
5,"Aleatoria","A",4,1600,13,7,0.35
5,"Aleatoria","A",4,1650,13,7,0.35
5,"Aleatoria","A",4,1700,7,13,0.65
5,"Aleatoria","A",4,1750,2,18,0.9
5,"Aleatoria","A",4,1800,3,17,0.85
5,"Aleatoria","A",4,1850,1,19,0.95
5,"Aleatoria","A",4,1900,1,19,0.95
5,"Aleatoria","A",4,1950,0,20,1
5,"Aleatoria","A",5,1550,18,2,0.1
5,"Aleatoria","A",5,1600,17,3,0.15
5,"Aleatoria","A",5,1650,17,3,0.15
5,"Aleatoria","A",5,1700,12,8,0.4
5,"Aleatoria","A",5,1750,6,14,0.7
5,"Aleatoria","A",5,1800,4,16,0.8
5,"Aleatoria","A",5,1850,0,20,1
5,"Aleatoria","A",5,1900,0,20,1
5,"Aleatoria","A",5,1950,0,20,1
5,"Bloque","A",3,1550,19,1,0.05
5,"Bloque","A",3,1600,14,6,0.3
5,"Bloque","A",3,1650,9,11,0.55
5,"Bloque","A",3,1700,5,15,0.75
